N° parcela,Edad,AGB (kg),latitude_dec,longitude_dec
1,['6 -- 15'],206.62831310429803,2.268957,-75.681033
2,['> 30 '],2306.0940695115155,2.26181,-75.694398
3,['> 30 '],1972.4133580563757,2.261131,-75.694819
4,['> 30 '],2536.7267819493286,2.261365,-75.695916
5,['> 30 '],7312.043656865065,2.261401,-75.696158
6,['6 -- 15'],303.59518675274944,2.266031,-75.694681
7,['6 -- 15'],170.1366155346322,2.265868,-75.69513
8,['6 -- 15'],333.74476664676683,2.266276,-75.694187
9,['> 30 '],1334.346413509012,2.261582,-75.695754
11,['6 -- 15'],432.80072399940536,2.265553,-75.694033
12,['6 -- 15'],508.34210588061865,2.265742,-75.694465
13,['6 -- 15'],57.00554768922176,2.268541,-75.681617
14,['6 -- 15'],82.20200570683187,2.270813,-75.679058
15,['6 -- 15'],608.9796527048665,2.271509,-75.678852
16,['6 -- 15'],565.897746444344,2.271582,-75.678448
17,['2 -- 5'],196.44350256477765,2.270826,-75.675338
18,['2 -- 5'],121.09744673643388,2.271388,-75.67364
19,['> 30 '],2534.2094423507456,2.266629,-75.685416
20,['> 30 '],3182.7254414283852,2.266565,-75.686216
21,['> 30 '],1184.9134103633708,2.266436,-75.688112
22,['> 30 '],5893.170894577483,2.272847,-75.694607
23,['> 30 '],2981.9543303186483,2.274321,-75.694483
24,['> 30 '],1604.8953211243904,2.267296,-75.687241
25,['> 30 '],2661.897028247827,2.278414,-75.695926
26,['> 30 '],2675.316238672141,2.275676,-75.695366
36,['6 -- 15'],1359.3041596060846,2.310827,-75.699728
38,['> 30 '],4843.723143402951,2.306106,-75.686395
39,['> 30 '],6521.40029664842,2.305831,-75.68945
42,['> 30 '],5062.304451086959,2.311108,-75.699449
43,['> 30 '],8155.422325060138,2.31166,-75.698336
44,['> 30 '],7210.025251092152,2.31055,-75.697508
46,['6 -- 15'],350.5078901860513,2.313885,-75.697502
53,['> 30 '],6740.568069801427,2.314539,-75.67917
54,['> 30 '],5514.764570114392,2.3175,-75.682966
55,['> 30 '],9258.600266964093,2.308776,-75.68283
59,['2 -- 5'],531.4180524652057,2.273331,-75.674451
69,['> 30 '],643.8158540309548,2.281,-75.671781
70,['> 30 '],3514.849720284721,2.280242,-75.669974
71,['> 30 '],1143.4041497789208,2.280605,-75.685674
72,['> 30 '],539.3389062368401,2.278325,-75.671113
96,['6 -- 15'],1491.25727218831,2.310547,-75.699449
98,['> 30 '],5512.6845466832465,2.261248,-75.695116
99,['> 30 '],654.5954138841572,2.26642,-75.694223
103,['2 -- 5'],566.6159400279106,2.308048,-75.6877
104,['2 -- 5'],1717.916123420662,2.308327,-75.68806
109,['> 30 '],5865.930006550159,2.311055,-75.697993
110,['> 30 '],8261.867305465172,2.312401,-75.69901
111,['2 -- 5'],334.8014569539822,2.310813,-75.68853
112,['2 -- 5'],1067.2043405804102,2.310578,-75.688494
113,['2 -- 5'],1423.8385615190978,2.309313,-75.68754
114,['2 -- 5'],747.1359698275396,2.30972,-75.687396
115,['2 -- 5'],1397.1291780522722,2.309898,-75.690254
116,['2 -- 5'],836.4042606440629,2.308551,-75.690469
117,['2 -- 5'],404.0837323642814,2.30867,-75.689354
118,['6 -- 15'],1328.8152108252875,2.314202,-75.697359
119,['6 -- 15'],1431.3999400267726,2.311424,-75.699746
120,['2 -- 5'],1691.8073784410853,2.313091,-75.696603
121,['6 -- 15'],1378.718302814667,2.313523,-75.698167
122,['6 -- 15'],1500.7991960031627,2.313189,-75.697672
123,['6 -- 15'],261.2407782643378,2.330447,-75.696676
124,['> 30 '],2754.6039279410575,2.306533,-75.692426
125,['> 30 '],1466.6805776808933,2.306308,-75.691607
126,['> 30 '],4508.982232189006,2.306327,-75.690134
127,['> 30 '],4082.3581760646734,2.306465,-75.688022
128,['2 -- 5'],472.49638521239024,2.308126,-75.690091
129,['2 -- 5'],760.2325295756053,2.307901,-75.689695
130,['2 -- 5'],364.2240626006946,2.308498,-75.688842
131,['> 30 '],3597.6975860513644,2.311742,-75.698138
132,['> 30 '],4832.380417103594,2.31185,-75.698659
133,['> 30 '],2389.293640652638,2.310658,-75.69793
134,['> 30 '],3910.0619309655694,2.307371,-75.694457
135,['> 30 '],2166.829425099024,2.307038,-75.693513
136,['> 30 '],1650.8145441192887,2.306075,-75.689073
137,['> 30 '],2341.0657148174787,2.309789,-75.698828
138,['> 30 '],2125.5531335956834,2.310133,-75.698181
139,['2 -- 5'],1226.1031596364924,2.308635,-75.687746
140,['2 -- 5'],108.60581924563954,2.310082,-75.687738
10_A,['> 30 '],3018.4577600354205,2.290222,-75.701806
10_B,['6 -- 15'],365.45013544806903,2.265879,-75.693189
